year,month,variable,value,isin
2011,10,logVola,-2.49299108009439,US17275R1023
2011,9,logVola,-2.28982915642051,US17275R1023
2011,8,logVola,-1.66946405517502,US17275R1023
2011,7,logVola,-2.58471515655766,US17275R1023
2011,6,logVola,-2.66045719930407,US17275R1023
2011,5,logVola,-2.75419667962975,US17275R1023
2011,4,logVola,-2.57919776291003,US17275R1023
2011,3,logVola,-3.05789532399799,US17275R1023
2011,2,logVola,-1.77382926518791,US17275R1023
2011,1,logVola,-2.96640499128163,US17275R1023
2010,12,logVola,-3.14304591567376,US17275R1023
2010,11,logVola,-1.65848648838947,US17275R1023
2010,10,logVola,-3.02126705072706,US17275R1023
2010,9,logVola,-2.82539623132653,US17275R1023
2010,8,logVola,-2.06358375586547,US17275R1023
2010,7,logVola,-2.35828358285714,US17275R1023
2010,6,logVola,-2.64280213755256,US17275R1023
2010,5,logVola,-2.08910339455552,US17275R1023
2010,4,logVola,-3.03546706390294,US17275R1023
2010,3,logVola,-3.00141642559715,US17275R1023
2010,2,logVola,-3.18584211913474,US17275R1023
2010,1,logVola,-2.58738768509734,US17275R1023
2009,12,logVola,-3.27780349050371,US17275R1023
2009,11,logVola,-2.8108570861008,US17275R1023
2009,10,logVola,-2.68167328697432,US17275R1023
2009,9,logVola,-2.60060061222769,US17275R1023
2009,8,logVola,-2.69959145325118,US17275R1023
2009,7,logVola,-2.57393112861904,US17275R1023
2009,6,logVola,-2.78428813851567,US17275R1023
2009,5,logVola,-2.38380386810698,US17275R1023
2009,4,logVola,-2.14583474687937,US17275R1023
2009,3,logVola,-1.7992539722786,US17275R1023
2009,2,logVola,-2.03647990392367,US17275R1023
2009,1,logVola,-1.84670695741945,US17275R1023
2017,12,logReturn,-0.00196043210163084,US1912161007
2017,11,logReturn,0.00739537610282023,US1912161007
2017,10,logReturn,0.0259981719200728,US1912161007
2017,9,logReturn,-0.00897045601570545,US1912161007
2017,8,logReturn,-0.00328794982444848,US1912161007
2017,7,logReturn,0.0238428112854106,US1912161007
2017,6,logReturn,-0.0125601741802875,US1912161007
2017,5,logReturn,0.0507483993509488,US1912161007
2017,4,logReturn,0.017298908791323,US1912161007
2017,3,logReturn,0.0153838045839047,US1912161007
2017,2,logReturn,0.0168249477782645,US1912161007
2017,1,logReturn,-0.00551835076486434,US1912161007
2016,12,logReturn,0.0316087790457064,US1912161007
2016,11,logReturn,-0.034462019370663,US1912161007
2016,10,logReturn,0.00876533769691223,US1912161007
2016,9,logReturn,-0.0158014538434007,US1912161007
2016,8,logReturn,-0.000459482928358853,US1912161007
2016,7,logReturn,-0.0335826643424356,US1912161007
2016,6,logReturn,0.0217220965409119,US1912161007
2016,5,logReturn,-0.00848422408594708,US1912161007
2016,4,logReturn,-0.0443174255756745,US1912161007
2016,3,logReturn,0.0676780318224622,US1912161007
2016,2,logReturn,0.00301754525661721,US1912161007
2016,1,logReturn,0.0121874891207165,US1912161007
2015,12,logReturn,0.00163111144438334,US1912161007
2015,11,logReturn,0.0165721507446805,US1912161007
2015,10,logReturn,0.0621012991960123,US1912161007
2015,9,logReturn,0.043361831943193,US1912161007
2015,8,logReturn,-0.054921746367644,US1912161007
2015,7,logReturn,0.0392214722059469,US1912161007
2015,6,logReturn,-0.0344716935412259,US1912161007
2015,5,logReturn,0.00122058776161502,US1912161007
2015,4,logReturn,-0.00295489783724263,US1912161007
2015,3,logReturn,-0.0552054820478723,US1912161007
2015,2,logReturn,0.0402933086733728,US1912161007
2015,1,logReturn,-0.0232865365045024,US1912161007
2014,12,logReturn,-0.0537176366718656,US1912161007
2014,11,logReturn,0.07660437940933,US1912161007
2014,10,logReturn,-0.0203251637945997,US1912161007
2014,9,logReturn,0.0314431406526711,US1912161007
2014,8,logReturn,0.0600108325840721,US1912161007
2014,7,logReturn,-0.0735806372598441,US1912161007
2014,6,logReturn,0.0435715994055547,US1912161007
2014,5,logReturn,0.00318303857875126,US1912161007
2014,4,logReturn,0.0601187551253489,US1912161007
2014,3,logReturn,0.0219638806755171,US1912161007
2014,2,logReturn,0.0265254744750089,US1912161007
2014,1,logReturn,-0.0724071149464401,US1912161007
2013,12,logReturn,0.0302265045665477,US1912161007
2013,11,logReturn,0.0214777646379906,US1912161007
2013,10,logReturn,0.0418009095858757,US1912161007
2013,9,logReturn,0.00673235694514614,US1912161007
2013,8,logReturn,-0.0607171703817247,US1912161007
2013,7,logReturn,-0.00943501570271384,US1912161007
